state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Oregon,Male,Doctorate,975,604.50,67632,121,1/0/00,Personal Auto,Sports Car,26.951627
Oregon,Female,Bachelor,942,297.41,34115,119,1/0/00,Personal Auto,SUV,466.122541
Arizona,Male,College,383,735.76,23051,99,1/0/00,Personal Auto,Two-Door Car,475.2
California,Male,College,1,095,213.19,23748,99,1/0/00,Personal Auto,Four-Door Car,607.095655
Arizona,Female,College,815,913.66,40589,69,1/0/00,Corporate Auto,Four-Door Car,331.2
California,Female,College,1,948,049.98,50809,83,1/0/00,Personal Auto,Four-Door Car,290.381707
Arizona,Female,College,391,936.67,66676,97,1/0/00,Personal Auto,Four-Door Car,558.099357
Nevada,Female,Bachelor,798,514.21,52339,70,1/3/00,Corporate Auto,Four-Door Car,336
Oregon,Male,Bachelor,1,216,874.49,14973,115,1/0/00,Personal Auto,SUV,828
Arizona,Female,College,584,932.15,51236,83,1/0/00,Corporate Auto,Four-Door Car,540.514115
Arizona,Female,Bachelor,508,583.66,31546,65,1/0/00,Personal Auto,Four-Door Car,100.049832
California,Female,College,290,393.98,67763,73,1/1/00,Personal Auto,Four-Door Car,59.861963
Washington,Female,College,627,317.34,20836,79,1/0/00,Corporate Auto,Four-Door Car,193.57032
Washington,Male,College,1,832,141.90,88592,76,1/0/00,Corporate Auto,Four-Door Car,199.79727
Oregon,Female,College,517,870.42,66943,65,1/1/00,Special Auto,Four-Door Car,53.084753
Arizona,Female,College,1,402,435.84,81872,115,1/0/00,Special Auto,Four-Door Car,256.43803
Washington,Female,College,530,943.59,22404,70,1/1/00,Personal Auto,Four-Door Car,211.136067
California,Female,College,494,980.38,21342,62,1/0/00,Personal Auto,Four-Door Car,74.350893
California,Male,Bachelor,859,566.53,34621,108,1/1/00,Corporate Auto,SUV,621.464468
Oregon,Male,College,2,295,189.20,62396,64,1/0/00,Personal Auto,Four-Door Car,307.2
Oregon,Male,College,379,213.03,97212,93,1/0/00,Personal Auto,Two-Door Car,360.05589
Arizona,Female,Bachelor,275,574.80,49648,70,1/0/00,Personal Auto,Four-Door Car,65.954813
Arizona,Male,College,488,033.96,97984,61,1/1/00,Personal Auto,Four-Door Car,407.450118
California,Female,College,905,190.53,26308,114,1/0/00,Corporate Auto,SUV,547.2
Oregon,Female,College,1,011,544.62,63528,256,1/0/00,Personal Auto,Luxury Car,1228.8
Nevada,Male,College,826,907.54,20225,114,1/1/00,Special Auto,SUV,547.2
Nevada,Male,College,807,165.30,51236,112,1/0/00,Personal Auto,SUV,806.4
Oregon,Female,College,772,699.36,87620,64,1/0/00,Personal Auto,Four-Door Car,24.063693
California,Female,Bachelor,831,113.59,51236,72,1/0/00,Corporate Auto,Four-Door Car,311.329282
Nevada,Female,Master,257,402.04,34990,65,1/0/00,Personal Auto,Four-Door Car,42.689135
Oregon,Male,Bachelor,572,732.71,99934,71,1/0/00,Special Auto,Four-Door Car,460.323855
Washington,Male,Master,367,914.21,60804,92,1/0/00,Personal Auto,Four-Door Car,213.225001
Oregon,Male,Bachelor,274,451.96,94648,69,1/0/00,Personal Auto,Four-Door Car,331.2
California,Female,College,563,674.03,24516,71,1/0/00,Personal Auto,Four-Door Car,300.607591
Arizona,Male,Bachelor,1,687,038.82,61063,85,1/0/00,Personal Auto,Four-Door Car,262.504882
California,Male,Master,273,800.20,51236,74,1/0/00,Personal Auto,Two-Door Car,263.365432
Oregon,Male,Bachelor,464,470.05,51236,64,1/0/00,Corporate Auto,Four-Door Car,307.2
California,Female,College,474,668.65,15169,63,1/0/00,Personal Auto,Four-Door Car,302.4
Arizona,Male,College,1,687,432.82,55390,71,1/0/00,Corporate Auto,Two-Door Car,256.268091
Oregon,Female,Bachelor,238,760.61,27592,62,1/0/00,Personal Auto,Four-Door Car,297.6
Washington,Female,College,446,533.57,61846,112,1/0/00,Personal Auto,SUV,215.8182
Arizona,Female,College,459,162.59,83297,113,1/0/00,Personal Auto,SUV,542.4
Arizona,Female,College,1,309,258.58,51236,188,1/0/00,Special Auto,Luxury Car,1353.6
Oregon,Male,Bachelor,911,226.66,51236,90,1/0/00,Personal Auto,Four-Door Car,432
California,Female,College,416,516.66,55897,104,1/0/00,Personal Auto,Four-Door Car,499.2
Arizona,Male,Bachelor,265,998.06,21297,71,1/0/00,Personal Auto,Four-Door Car,45.507952
Arizona,Female,Master,1,198,659.21,87560,98,1/1/00,Personal Auto,Two-Door Car,470.4
Oregon,Female,College,289,873.27,51236,96,1/4/00,Personal Auto,Four-Door Car,691.2
Oregon,Female,Bachelor,289,424.39,51236,85,1/0/00,Personal Auto,Four-Door Car,408
Arizona,Female,Doctorate,350,045.44,89398,86,1/0/00,Personal Auto,Four-Door Car,82.409922
California,Female,College,262,180.86,36843,68,1/3/00,Corporate Auto,Four-Door Car,357.642982
Oregon,Female,College,1,022,180.50,51236,134,1/0/00,Personal Auto,SUV,643.2
California,Male,College,257,827.10,34946,65,1/0/00,Personal Auto,Two-Door Car,420.35698
Arizona,Female,College,624,259.57,75680,78,1/0/00,Personal Auto,Four-Door Car,136.787725
Nevada,Female,Doctorate,522,028.10,51236,69,1/0/00,Personal Auto,Four-Door Car,331.2
Washington,Female,College,313,643.21,49532,79,1/1/00,Personal Auto,Four-Door Car,220.186677
Arizona,Male,Bachelor,452,536.58,10269,65,1/0/00,Personal Auto,Two-Door Car,170.798204
California,Male,College,497,035.73,49714,63,1/3/00,Personal Auto,Four-Door Car,266.165535
California,Male,College,1,546,778.90,77517,129,1/0/00,Corporate Auto,SUV,98.921782
Oregon,Male,College,583,889.92,81082,73,1/0/00,Personal Auto,Four-Door Car,281.295903
Oregon,Female,Bachelor,1,065,688.20,72540,88,1/0/00,Corporate Auto,Two-Door Car,631.743039
Oregon,Female,College,228,961.87,51236,65,1/0/00,Personal Auto,Four-Door Car,468
California,Male,College,543,980.42,61546,68,1/0/00,Corporate Auto,Two-Door Car,29.209521
California,Female,Master,795,615.01,44818,67,1/1/00,Personal Auto,Two-Door Car,136.883999
Arizona,Male,Bachelor,445,811.34,17622,65,1/1/00,Personal Auto,Four-Door Car,312
Oregon,Female,College,255,505.15,51236,72,1/0/00,Personal Auto,Four-Door Car,518.4
California,Male,Bachelor,330,799.90,79797,84,1/0/00,Corporate Auto,Two-Door Car,31.755601
Washington,Female,College,845,905.32,92717,70,1/0/00,Personal Auto,Two-Door Car,224.27582
Oregon,Female,College,1,335,012.09,28919,173,1/0/00,Personal Auto,SUV,830.4
Arizona,Male,College,493,122.13,51236,68,1/0/00,Personal Auto,Four-Door Car,480.159011
Nevada,Male,Bachelor,777,683.52,63568,65,1/0/00,Corporate Auto,Two-Door Car,390.792553
Nevada,Female,College,255,367.22,73935,64,1/1/00,Corporate Auto,Four-Door Car,72.071195
Arizona,Female,College,487,646.97,51236,66,1/0/00,Corporate Auto,Two-Door Car,316.8
Oregon,Female,Bachelor,903,430.58,18846,115,1/0/00,Personal Auto,SUV,552
Arizona,Female,College,810,591.08,38893,103,1/0/00,Personal Auto,SUV,41.965252
Oregon,Male,College,561,968.91,51236,153,1/0/00,Special Auto,SUV,1027.000029
California,Male,Bachelor,1,572,713.06,84824,196,1/0/00,Corporate Auto,SUV,319.820747
California,Female,College,661,801.64,20068,86,1/0/00,Corporate Auto,Four-Door Car,411.011162
Oregon,Male,Doctorate,467,004.80,51236,125,1/0/00,Corporate Auto,SUV,600
Arizona,Female,College,1,016,936.98,51236,135,1/0/00,Personal Auto,Sports Car,648
California,Male,Bachelor,832,307.40,97245,70,1/0/00,Personal Auto,Four-Door Car,4.110585
California,Female,College,241,776.00,51808,61,1/1/00,Personal Auto,Four-Door Car,351.149904
California,Male,Bachelor,804,487.24,71391,67,1/0/00,Personal Auto,Four-Door Car,284.000172
Oregon,Male,College,532,572.45,51236,73,1/0/00,Personal Auto,Two-Door Car,496.474767
Arizona,Male,Bachelor,694,752.40,51236,100,1/0/00,Personal Auto,SUV,925.137143
Oregon,Female,College,584,741.52,23496,77,1/0/00,Special Auto,Four-Door Car,13.164097
Washington,Male,College,779,481.84,55561,63,1/0/00,Personal Auto,Four-Door Car,227.872071
Nevada,Female,College,472,478.61,23986,119,1/0/00,Corporate Auto,SUV,463.335061
Arizona,Female,Master,279,022.80,22974,71,1/0/00,Personal Auto,Four-Door Car,180.667969
Oregon,Female,College,2,153,133.28,51236,101,1/0/00,Personal Auto,Four-Door Car,484.8
Arizona,Male,Bachelor,1,262,283.27,61844,106,1/0/00,Personal Auto,Sports Car,508.8
Arizona,Male,Doctorate,2,017,196.15,24804,73,1/0/00,Personal Auto,Two-Door Car,350.4
California,Female,Bachelor,1,646,436.59,27760,104,1/0/00,Personal Auto,SUV,302.764283
Oregon,Female,College,559,538.99,74454,71,1/0/00,Personal Auto,Four-Door Car,340.8
California,Female,Master,462,680.11,79487,114,1/0/00,Special Auto,SUV,547.2
Arizona,Female,College,266,544.71,52266,68,1/0/00,Corporate Auto,Two-Door Car,141.922839
Oregon,Male,Bachelor,709,891.41,51236,70,1/0/00,Personal Auto,Two-Door Car,349.783046
California,Male,Doctorate,397,134.51,23599,103,1/0/00,Corporate Auto,SUV,494.4
Oregon,Male,Bachelor,552,821.28,36088,72,1/0/00,Personal Auto,Four-Door Car,345.6
California,Female,College,833,899.58,70534,104,1/0/00,Personal Auto,Four-Door Car,54.065538
Oregon,Male,College,3,844,585.59,27398,125,1/1/00,Personal Auto,SUV,600
Nevada,Male,Bachelor,544,855.52,85296,68,1/0/00,Personal Auto,Four-Door Car,342.515136
Arizona,Male,College,1,080,806.60,31063,92,1/0/00,Personal Auto,Four-Door Car,441.6
California,Male,Bachelor,618,509.65,51236,92,1/0/00,Personal Auto,Two-Door Car,1027.177255
Nevada,Male,College,320,822.59,52367,81,1/0/00,Personal Auto,Four-Door Car,275.989978
Arizona,Male,College,548,010.41,58651,71,1/0/00,Personal Auto,Four-Door Car,472.599683
Nevada,Female,College,2,298,615.39,84831,192,1/0/00,Special Auto,Sports Car,1336.931716
Oregon,Male,Bachelor,1,310,792.59,49088,114,1/1/00,Corporate Auto,SUV,547.2
California,Female,College,746,292.63,70263,93,1/0/00,Corporate Auto,Two-Door Car,7.345946
Oregon,Female,Doctorate,1,146,399.10,45354,285,1/0/00,Personal Auto,Luxury SUV,540.141566
Arizona,Male,College,723,613.25,51236,63,1/0/00,Personal Auto,Four-Door Car,383.363758
California,Female,Bachelor,623,268.79,28334,83,1/0/00,Special Auto,Four-Door Car,537.765151
Oregon,Female,Bachelor,2,839,332.99,38772,90,1/0/00,Personal Auto,Four-Door Car,321.873474
California,Male,Bachelor,2,156,933.73,23909,119,1/0/00,Personal Auto,SUV,571.2
California,Male,College,501,208.37,48328,63,1/0/00,Personal Auto,Two-Door Car,108.138715
California,Male,College,337,185.84,86689,85,1/0/00,Corporate Auto,Two-Door Car,408
California,Male,Bachelor,386,477.68,24204,99,1/1/00,Personal Auto,Four-Door Car,707.303416
Oregon,Male,College,414,571.19,25943,110,1/0/00,Corporate Auto,Two-Door Car,1067.333126
California,Male,College,515,607.27,51236,73,1/0/00,Personal Auto,Four-Door Car,807.947292
California,Male,College,366,737.50,62375,92,1/0/00,Personal Auto,Two-Door Car,618.630955
California,Female,College,783,568.35,51236,71,1/0/00,Corporate Auto,Four-Door Car,404.272806
Arizona,Male,Bachelor,1,456,726.84,51236,148,1/0/00,Personal Auto,SUV,710.4
Oregon,Male,Bachelor,1,017,133.90,70200,65,1/0/00,Corporate Auto,Four-Door Car,312
Nevada,Female,Bachelor,413,577.52,51236,112,1/0/00,Special Auto,Four-Door Car,707.977614
Oregon,Female,College,551,149.11,79027,70,1/0/00,Corporate Auto,Four-Door Car,336
Washington,Female,College,1,131,424.39,62935,141,1/0/00,Personal Auto,Sports Car,232.242326
California,Female,College,541,461.73,26893,68,1/0/00,Personal Auto,Four-Door Car,68.226001
Oregon,Female,College,742,159.35,47406,94,1/1/00,Personal Auto,Four-Door Car,287.149807
California,Male,Bachelor,2,265,853.65,23665,67,1/0/00,Personal Auto,Four-Door Car,404.817249
Oregon,Female,College,1,447,612.49,27572,124,1/0/00,Corporate Auto,SUV,595.2
Oregon,Female,College,493,688.84,51236,72,1/2/00,Personal Auto,Two-Door Car,391.636628
Oregon,Female,Bachelor,452,527.65,32802,114,1/0/00,Personal Auto,SUV,547.2
Washington,Female,Master,558,176.13,62739,70,1/0/00,Personal Auto,Two-Door Car,239.328571
California,Female,Bachelor,1,413,434.74,90844,118,1/0/00,Personal Auto,SUV,232.674417
Nevada,Female,College,2,472,318.31,44685,69,1/0/00,Personal Auto,Four-Door Car,331.2
California,Female,Bachelor,283,806.78,51236,80,1/0/00,Personal Auto,Four-Door Car,336.50961
California,Female,College,384,848.36,42589,98,1/0/00,Corporate Auto,Four-Door Car,470.4
Oregon,Male,Bachelor,1,950,447.39,51236,72,1/0/00,Personal Auto,Four-Door Car,345.6
Washington,Female,Bachelor,248,004.59,93383,62,1/0/00,Corporate Auto,Two-Door Car,244.212286
Arizona,Female,College,436,137.29,79583,109,1/2/00,Personal Auto,Four-Door Car,523.2
Arizona,Female,College,252,907.75,89129,64,1/0/00,Personal Auto,Four-Door Car,328.870868
Arizona,Male,College,250,444.48,51236,69,1/0/00,Personal Auto,Four-Door Car,496.8
Oregon,Female,Bachelor,864,970.06,94389,107,1/0/00,Corporate Auto,SUV,85.063708
Oregon,Female,College,1,366,835.53,51236,197,1/0/00,Personal Auto,SUV,1418.4
Oregon,Female,College,2,063,508.46,84106,64,1/0/00,Personal Auto,Two-Door Car,334.408717
Arizona,Female,College,251,753.36,51236,69,1/0/00,Personal Auto,Four-Door Car,42.096415
California,Female,College,532,667.77,76717,66,1/0/00,Personal Auto,Two-Door Car,300.528579
Arizona,Male,College,260,027.21,51978,66,1/0/00,Corporate Auto,Four-Door Car,144.782152
Oregon,Female,Bachelor,853,479.28,47325,107,1/0/00,Personal Auto,SUV,64.598216
Oregon,Male,College,882,883.50,86721,111,1/0/00,Corporate Auto,SUV,532.8
Nevada,Female,Bachelor,224,844.96,24910,63,1/1/00,Personal Auto,Four-Door Car,347.857619
Washington,Female,Bachelor,1,230,276.24,43817,62,1/1/00,Personal Auto,Four-Door Car,245.447622
Oregon,Male,College,455,659.30,51236,73,1/2/00,Personal Auto,Four-Door Car,525.6
Oregon,Female,Bachelor,253,070.51,89451,63,1/0/00,Corporate Auto,Four-Door Car,61.769564
California,Male,College,525,198.40,59537,66,1/0/00,Personal Auto,Two-Door Car,316.8
Oregon,Male,College,674,311.93,51236,199,1/0/00,Personal Auto,Luxury SUV,955.2
Oregon,Male,College,1,401,472.13,54193,117,1/0/00,Corporate Auto,SUV,720.752945
Oregon,Male,College,943,891.56,86946,118,1/0/00,Personal Auto,Four-Door Car,340.656963
California,Female,Bachelor,1,050,677.17,51236,92,1/0/00,Personal Auto,Four-Door Car,546.524896
Arizona,Female,College,421,391.86,12160,109,1/0/00,Personal Auto,Four-Door Car,489.411833
California,Male,College,477,368.64,33701,63,1/0/00,Personal Auto,Four-Door Car,171.325856
Washington,Female,Bachelor,544,142.01,85702,67,1/0/00,Personal Auto,Two-Door Car,249.085887
California,Male,Bachelor,284,226.69,69417,73,1/1/00,Personal Auto,Four-Door Car,30.874869
Oregon,Male,Master,305,955.03,38644,78,1/1/00,Personal Auto,Four-Door Car,361.455219
California,Female,College,2,031,499.76,63209,102,1/2/00,Personal Auto,SUV,207.320041
California,Male,Bachelor,445,811.34,17622,65,1/1/00,Personal Auto,Four-Door Car,312
California,Male,College,1,749,752.20,51236,73,1/0/00,Personal Auto,Two-Door Car,350.4
California,Male,Doctorate,343,613.43,30817,88,1/0/00,Personal Auto,Four-Door Car,91.834668
Oregon,Female,College,2,580,706.30,71210,214,1/1/00,Personal Auto,Luxury Car,1027.2
Arizona,Female,College,380,812.21,94903,94,1/0/00,Corporate Auto,Two-Door Car,451.2
Arizona,Male,Bachelor,761,413.80,27293,96,1/0/00,Personal Auto,Two-Door Car,469.030907
California,Female,Master,689,845.53,70950,171,1/0/00,Personal Auto,Sports Car,565.929394
Oregon,Male,College,229,837.92,51236,63,1/0/00,Corporate Auto,Four-Door Car,302.4
Oregon,Female,Doctorate,280,669.61,37009,71,1/0/00,Corporate Auto,Two-Door Car,145.673348
Nevada,Male,College,520,611.82,52629,65,1/0/00,Personal Auto,Four-Door Car,136.684141
California,Female,Bachelor,4,570,865.34,31264,198,1/1/00,Personal Auto,Luxury SUV,825.657746
Oregon,Female,College,800,734.91,65473,67,1/0/00,Personal Auto,Four-Door Car,277.685667
Washington,Female,Bachelor,548,254.94,79325,68,1/0/00,Corporate Auto,Four-Door Car,251.294821
Oregon,Male,College,246,323.68,99144,61,1/0/00,Corporate Auto,Four-Door Car,292.8
California,Male,College,549,894.07,22520,73,1/0/00,Corporate Auto,Four-Door Car,350.4
Arizona,Female,Bachelor,524,382.80,36615,65,1/0/00,Special Auto,Four-Door Car,264.563772
Washington,Female,Bachelor,328,045.73,63297,82,1/0/00,Personal Auto,Four-Door Car,251.756739
Arizona,Female,College,488,654.43,76374,61,1/0/00,Personal Auto,Four-Door Car,292.8
Washington,Female,Bachelor,512,348.50,72096,6464,1/0/00,Personal Auto,Two-Door Car,252.330905
Nevada,Male,Master,547,955.51,56005,68,1/1/00,Personal Auto,Four-Door Car,326.4
Washington,Female,Master,476,215.70,36529,118,1/0/00,Personal Auto,SUV,255.005116
Oregon,Female,Bachelor,828,767.93,81367,103,1/0/00,Special Auto,SUV,415.768941
California,Female,Bachelor,988,665.64,44817,83,1/0/00,Personal Auto,Four-Door Car,527.421579
Oregon,Female,College,271,291.56,58508,69,1/0/00,Personal Auto,Two-Door Car,57.614392
Oregon,Male,Bachelor,1,047,767.63,45259,138,1/0/00,Personal Auto,SUV,272.217171
Oregon,Female,College,259,618.52,51236,72,1/0/00,Personal Auto,Two-Door Car,345.6
California,Male,Doctorate,1,273,195.16,40870,105,1/0/00,Personal Auto,SUV,504
Nevada,Male,College,349,414.79,35001,96,1/3/00,Personal Auto,Four-Door Car,460.8
Arizona,Female,College,759,791.07,49937,64,1/0/00,Personal Auto,Two-Door Car,302.586407
Oregon,Female,Bachelor,401,521.45,51236,109,1/0/00,Personal Auto,Four-Door Car,523.2
California,Female,College,2,047,710.84,58317,73,1/0/00,Personal Auto,Four-Door Car,350.4
California,Female,College,816,068.98,51236,109,1/0/00,Personal Auto,SUV,523.2
Nevada,Male,College,1,229,868.63,17101,113,1/0/00,Corporate Auto,SUV,542.4
California,Female,College,871,492.21,51236,118,1/0/00,Corporate Auto,SUV,566.4
Arizona,Female,Bachelor,485,353.42,51236,65,1/0/00,Personal Auto,Four-Door Car,468
Oregon,Male,College,488,094.64,24398,63,1/1/00,Personal Auto,Four-Door Car,302.4
Oregon,Male,College,231,138.21,24641,61,1/0/00,Corporate Auto,Four-Door Car,294.92773
Arizona,Male,College,432,709.89,69040,108,1/0/00,Corporate Auto,Sports Car,518.4
Oregon,Male,College,1,229,868.63,17101,113,1/0/00,Personal Auto,SUV,542.4
California,Female,College,832,353.33,59886,104,1/0/00,Personal Auto,Sports Car,71.729298
Oregon,Female,Bachelor,1,017,971.70,14290,271,1/0/00,Personal Auto,Luxury SUV,1300.8
California,Female,College,776,126.78,43137,96,1/0/00,Personal Auto,Two-Door Car,460.8
Oregon,Male,College,523,989.09,27978,69,1/1/00,Personal Auto,Four-Door Car,447.911255
California,Female,Bachelor,451,790.88,25261,118,1/0/00,Personal Auto,SUV,566.4
Nevada,Male,College,238,977.41,58652,64,1/5/00,Personal Auto,Four-Door Car,307.2
Nevada,Female,College,413,062.88,28321,111,1/0/00,Corporate Auto,SUV,537.391704
Washington,Female,College,269,156.90,77411,67,1/0/00,Personal Auto,Four-Door Car,257.900458
Oregon,Male,College,522,776.64,51236,72,1/0/00,Corporate Auto,Four-Door Car,518.4
California,Female,Bachelor,618,734.57,51236,88,1/0/00,Personal Auto,Four-Door Car,633.6
Arizona,Male,College,511,387.47,94415,127,1/1/00,Personal Auto,Sports Car,492.770321
Oregon,Male,College,1,103,931.62,51236,103,1/0/00,Special Auto,SUV,1149.203884
Arizona,Female,Bachelor,3,222,708.39,45331,100,1/0/00,Personal Auto,SUV,572.635987
Arizona,Male,College,261,196.59,53904,67,1/2/00,Personal Auto,Four-Door Car,321.6
California,Male,College,1,337,232.77,51236,74,1/0/00,Personal Auto,Four-Door Car,811.086484
Arizona,Male,Bachelor,483,898.19,51236,70,1/2/00,Special Auto,Four-Door Car,336
Oregon,Male,College,472,165.90,51236,67,1/0/00,Personal Auto,Four-Door Car,482.4
Oregon,Male,College,387,364.70,28142,105,1/0/00,Corporate Auto,Sports Car,701.708239
Washington,Male,Master,471,855.85,15680,6464,1/0/00,Personal Auto,Four-Door Car,260.879903
Oregon,Male,Bachelor,1,697,979.76,35095,73,1/0/00,Personal Auto,Two-Door Car,525.6
Oregon,Female,College,1,368,171.18,55588,114,1/0/00,Personal Auto,SUV,547.2
Arizona,Female,Master,571,722.19,52391,71,1/0/00,Personal Auto,Two-Door Car,409.763267
Oregon,Female,Bachelor,948,659.64,42240,79,1/0/00,Personal Auto,Four-Door Car,46.386546
Oregon,Female,Bachelor,383,914.37,70146,96,1/0/00,Personal Auto,Four-Door Car,157.440069
Oregon,Female,College,1,121,159.03,41121,94,1/0/00,Personal Auto,Four-Door Car,451.2
Oregon,Female,College,2,580,706.30,71210,214,1/1/00,Corporate Auto,Luxury Car,1027.2
Oregon,Male,Bachelor,379,832.17,51236,107,1/1/00,Corporate Auto,Two-Door Car,1261.943541
Nevada,Female,College,281,656.74,41228,71,1/0/00,Personal Auto,Four-Door Car,340.8
Washington,Male,Bachelor,502,929.70,40113,67,1/3/00,Corporate Auto,Two-Door Car,262.047663
Oregon,Female,College,344,496.75,51236,91,1/0/00,Special Auto,Four-Door Car,596.050118
California,Female,Bachelor,285,940.86,51790,71,1/0/00,Personal Auto,Four-Door Car,340.8
California,Male,College,269,205.76,92593,68,1/0/00,Corporate Auto,Four-Door Car,8.44322
California,Male,College,1,143,173.09,28657,100,1/0/00,Personal Auto,SUV,588.742251
Oregon,Male,College,763,588.33,30262,98,1/1/00,Personal Auto,Four-Door Car,499.22561
Oregon,Female,Master,980,582.96,47197,81,1/0/00,Corporate Auto,Four-Door Car,76.112618
California,Female,Bachelor,680,361.56,51236,94,1/0/00,Personal Auto,Four-Door Car,451.2
Oregon,Female,Bachelor,710,765.54,51236,61,1/0/00,Personal Auto,Four-Door Car,541.561209
Oregon,Female,College,473,518.45,51236,134,1/0/00,Personal Auto,SUV,964.8
Arizona,Male,College,687,432.67,22093,87,1/0/00,Corporate Auto,Two-Door Car,616.749885
Arizona,Male,College,241,125.66,54483,61,1/0/00,Personal Auto,Two-Door Car,292.8
Arizona,Female,College,241,654.24,18944,63,1/0/00,Personal Auto,Four-Door Car,125.274351
Oregon,Female,Bachelor,2,398,154.34,84365,66,1/0/00,Personal Auto,Four-Door Car,316.8
Arizona,Male,College,469,216.52,51236,64,1/0/00,Personal Auto,Four-Door Car,137.169296
California,Female,College,360,093.43,25147,101,1/0/00,Corporate Auto,SUV,694.598288
Nevada,Male,College,266,522.25,14315,71,1/0/00,Personal Auto,Four-Door Car,511.2
Arizona,Female,Master,766,652.04,87864,94,1/0/00,Personal Auto,Two-Door Car,421.456547
California,Male,College,1,667,589.62,57844,85,1/1/00,Personal Auto,Four-Door Car,408
Oregon,Female,College,455,085.60,17913,116,1/0/00,Personal Auto,Four-Door Car,556.8
Arizona,Female,College,1,176,393.57,28806,99,1/0/00,Special Auto,Four-Door Car,475.2
California,Male,College,1,374,253.72,90343,175,1/0/00,Personal Auto,SUV,833.072722
Oregon,Female,Master,1,613,841.63,79041,199,1/0/00,Personal Auto,Luxury SUV,419.26062
Washington,Male,Bachelor,729,858.36,74069,63,1/2/00,Personal Auto,Two-Door Car,275.516438
California,Male,College,667,373.77,85019,167,1/0/00,Personal Auto,Sports Car,801.6
California,Female,College,778,212.68,70059,194,1/0/00,Personal Auto,Luxury SUV,253.740993
California,Female,College,1,939,321.15,70503,164,1/1/00,Corporate Auto,SUV,41.05291
California,Male,Bachelor,397,413.82,51236,117,1/0/00,Personal Auto,SUV,561.6
Oregon,Male,Bachelor,410,558.10,39492,105,1/0/00,Personal Auto,SUV,756
Arizona,Male,College,230,847.21,51236,68,1/0/00,Corporate Auto,Four-Door Car,489.6
Arizona,Male,Bachelor,537,291.45,50405,70,1/1/00,Personal Auto,Four-Door Car,7.069583
Oregon,Female,Doctorate,550,831.55,96021,68,1/0/00,Personal Auto,Two-Door Car,315.004602
Oregon,Male,College,239,833.32,51236,65,1/0/00,Personal Auto,Two-Door Car,422.947888
California,Male,College,372,883.01,51236,105,1/0/00,Personal Auto,Four-Door Car,756
Oregon,Male,College,275,849.86,65794,69,1/1/00,Personal Auto,Four-Door Car,277.27294
Oregon,Male,Bachelor,370,393.03,21975,95,1/0/00,Corporate Auto,Four-Door Car,456
California,Male,College,937,284.36,51236,126,1/0/00,Personal Auto,SUV,604.8
Oregon,Female,Bachelor,499,158.45,56649,125,1/0/00,Special Auto,SUV,780.090361
Washington,Female,Master,503,986.93,35984,128,1/3/00,Personal Auto,SUV,275.577631
California,Male,Bachelor,275,997.83,92296,69,1/0/00,Corporate Auto,Two-Door Car,331.2
Oregon,Female,Bachelor,799,300.40,39448,103,1/3/00,Personal Auto,Four-Door Car,66.020788
California,Female,Bachelor,523,557.35,71794,131,1/0/00,Personal Auto,SUV,457.471225
California,Female,College,263,301.18,21861,69,1/0/00,Personal Auto,Four-Door Car,348.278032
Oregon,Female,College,276,480.23,31591,72,1/4/00,Corporate Auto,Four-Door Car,240.241499
Arizona,Female,Bachelor,808,484.64,60662,68,1/0/00,Special Auto,Two-Door Car,326.4
California,Female,College,268,517.77,20608,73,1/0/00,Personal Auto,Four-Door Car,350.4
California,Female,Master,1,220,812.00,21331,103,1/0/00,Personal Auto,SUV,419.062661
Arizona,Female,College,2,009,043.87,51236,66,1/1/00,Corporate Auto,Four-Door Car,252.149798
Washington,Male,Master,513,341.48,53390,6464,1/0/00,Personal Auto,Four-Door Car,278.999409
Oregon,Male,Doctorate,249,131.70,36631,62,1/0/00,Corporate Auto,Four-Door Car,67.530904
California,Male,College,631,459.68,51236,87,1/0/00,Personal Auto,Four-Door Car,417.6
Oregon,Male,College,1,622,964.89,26030,139,1/1/00,Corporate Auto,Sports Car,667.2
Nevada,Male,College,516,178.99,51236,70,1/0/00,Personal Auto,Four-Door Car,469.491537
Nevada,Male,Bachelor,398,226.61,51236,113,1/0/00,Personal Auto,SUV,542.4
Arizona,Male,Bachelor,1,347,318.57,25302,70,1/1/00,Personal Auto,Four-Door Car,336
Washington,Female,Master,277,832.39,66030,69,1/1/00,Personal Auto,Four-Door Car,282.153792
Oregon,Male,College,827,644.42,51236,82,1/0/00,Personal Auto,Four-Door Car,590.4
Arizona,Male,Bachelor,1,434,985.99,73222,180,1/0/00,Personal Auto,SUV,821.51673
California,Female,College,587,819.93,22061,74,1/0/00,Personal Auto,Four-Door Car,355.2
Arizona,Female,College,266,605.45,86321,66,1/0/00,Personal Auto,Four-Door Car,316.8
Oregon,Male,Bachelor,534,568.10,54668,68,1/1/00,Personal Auto,Four-Door Car,326.4
Arizona,Female,College,477,712.16,51236,62,1/0/00,Personal Auto,Four-Door Car,297.6
California,Male,College,1,697,374.02,69497,142,1/0/00,Personal Auto,SUV,92.286763
Oregon,Male,College,251,811.21,86617,63,1/0/00,Personal Auto,Four-Door Car,188.325603
Nevada,Female,Master,1,916,098.99,22705,239,1/0/00,Personal Auto,Luxury SUV,1294.700423
Washington,Female,College,3,286,440.46,90783,104,1/2/00,Personal Auto,SUV,285.745227
